Month,Sales
2018-01,32900
2018-02,26429
2018-03,23141
2018-04,23680
2018-05,31372
2018-06,25779
2018-07,40552
2018-08,35702
2018-09,33193
2018-10,31012
2018-11,30560
2018-12,22791
2019-01,34361
2019-02,32601
2019-03,30757
2019-04,32730
2019-05,34856
2019-06,35895
2019-07,34756
2019-08,40651
2019-09,38576
2019-10,24506
2019-11,30994
2019-12,13278
2020-01,35552
2020-02,24739
2020-03,28613
2020-04,26442
2020-05,24130
2020-06,28071
2020-07,40354
2020-08,23674
2020-09,22686
2020-10,17084
2020-11,23925
2020-12,9122
2021-01,21642
